Book_Id,ISBN,ISBN13,My_Rating,Date_Read,Date_Added,Bookshelves,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Original_Purchase_Date
20645164,,,0,,20/12/2018,"ebook, to-read",to-read,,,,0,
15779193,,,0,,20/12/2018,"ebook, to-read",to-read,,,,0,
33958407,,,0,,20/12/2018,"ebook, to-read",to-read,,,,0,
34058936,,,0,,20/12/2018,"ebook, to-read",to-read,,,,0,
10397403,,,0,,19/08/2014,"to-read, ebook",to-read,,,,0,
22211114,,,0,,19/08/2014,"ebook, not-currently-reading",not-currently-reading,,,,0,
18865949,,,0,,19/08/2014,"to-read, ebook",to-read,,,,0,
33022782,,,0,,16/12/2017,"to-read, ebook",to-read,,,,0,
22843053,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
18954846,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
18954848,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
18954844,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
35178875,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
6512869,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
19184641,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
33021758,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
25362142,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
18810874,,,0,,16/07/2017,"to-read, ebook",to-read,,,,0,
23627072,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
33829095,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
29565936,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
10328119,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
18934355,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
18905561,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
25132578,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
29367042,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
30120253,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
25757266,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
23703741,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
23279680,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
30850180,,,0,,17/01/2017,"to-read, ebook",to-read,,,,0,
18463822,,9780732287719,0,,14/01/2017,"to-read, paperback",to-read,,,,0,
954373,,,0,,14/01/2017,"to-read, paperback",to-read,,,,0,
7698681,,9781741668773,0,,17/12/2015,"to-read, paperback",to-read,,,,0,
8816969,,9781741668780,0,,17/12/2015,"to-read, paperback",to-read,,,,0,
11777684,,9780733623219,0,,14/01/2017,"to-read, paperback",to-read,,,,0,
27829617,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
28223686,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
33406133,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
8786449,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
13010378,,,0,,26/12/2016,"ebook, to-read",to-read,,,,0,
33521694,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
20032466,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
16064853,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
27304591,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
26045106,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
23627121,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
22884844,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
17794220,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
18685328,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
19341437,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
18857205,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
30955930,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
23810727,,,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
18880679,,9780989790994,0,,26/12/2016,"to-read, ebook",to-read,,,,0,
12966247,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
15739697,,,0,,19/08/2014,"to-read, ebook",to-read,,,,0,
27751337,,,0,,28/07/2016,"to-read, ebook",to-read,,,,0,
21202675,,,0,,28/07/2016,"to-read, ebook",to-read,,,,0,
18858310,,,0,,28/07/2016,"ebook, to-read",to-read,,,,0,
28087670,,,0,,12/07/2016,"to-read, ebook",to-read,,,,0,
26590191,,,0,,9/07/2016,"to-read, ebook",to-read,,,,0,
26093198,,,0,,9/07/2016,"to-read, ebook",to-read,,,,0,
17979605,,,0,,9/07/2016,"to-read, ebook",to-read,,,,0,
25845514,,,0,,9/07/2016,"to-read, ebook",to-read,,,,0,
22388244,,,0,,9/07/2016,"to-read, ebook",to-read,,,,0,
27843111,,,0,,9/07/2016,"ebook, to-read",to-read,,,,0,
25455454,,,0,,9/07/2016,"ebook, to-read",to-read,,,,0,
24156572,,,0,,6/06/2016,"ebook, to-read",to-read,,,,0,
23396039,,,0,,6/06/2016,"ebook, to-read",to-read,,,,0,
24004387,,,0,,30/05/2016,"ebook, to-read",to-read,,,,0,
27314300,,,0,,30/05/2016,"ebook, to-read",to-read,,,,0,
26873278,,,0,,30/05/2016,"ebook, to-read",to-read,,,,0,
25496466,,,0,,24/05/2016,"to-read, paperback",to-read,,,,0,
24728088,,,0,,24/05/2016,"to-read, ebook",to-read,,,,0,
18928853,,,0,,24/05/2016,"to-read, ebook",to-read,,,,0,
18951555,,,0,,24/05/2016,"to-read, ebook",to-read,,,,0,
20959574,,,0,,24/05/2016,"to-read, ebook",to-read,,,,0,
28595966,,,0,,24/05/2016,"to-read, ebook",to-read,,,,0,
24236697,,,2,,24/05/2016,"to-read, ebook",to-read,,,,0,
13645506,,,0,,24/05/2016,"to-read, ebook",to-read,,,,0,
15777401,,,0,,24/05/2016,to-read,to-read,,,,0,
14031401,,,0,,24/05/2016,to-read,to-read,,,,0,
29492896,,,0,,26/04/2016,"ebook, to-read",to-read,,,,0,26/04/2016
26831954,,,0,,26/04/2016,"ebook, to-read",to-read,,,,0,26/04/2016
21943285,,,0,,26/04/2016,"ebook, to-read",to-read,,,,0,26/04/2016
25549355,,,0,,26/04/2016,"ebook, to-read",to-read,,,,0,26/04/2016
22072831,,,0,,5/04/2016,"to-read, ebook",to-read,,,,0,
23790372,,,0,,5/04/2016,"to-read, ebook",to-read,,,,0,
21965671,,,0,,5/04/2016,"to-read, ebook",to-read,,,,0,
6590354,,,0,,5/04/2016,"ebook, to-read",to-read,,,,0,
11301266,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
12355784,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
24379773,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
23154559,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
20369768,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
22403388,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
28177053,,,0,,12/03/2016,"ebook, to-read",to-read,,,,0,
28379591,,,0,,12/03/2016,"ebook, to-read",to-read,,,,0,
11479538,,,0,,12/03/2016,"ebook, to-read",to-read,,,,0,
17613644,,,0,,12/03/2016,"ebook, to-read",to-read,,,,0,
16084685,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
11352552,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
25863548,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
28104804,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
17979809,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
16082143,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
22457524,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
27826531,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
11063306,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
28542220,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
20644752,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
12741696,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
25458643,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
27411249,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
14478204,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
25835605,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
26132256,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
25706931,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
23257010,,,0,,12/03/2016,"to-read, ebook",to-read,,,,0,
15781629,,,0,,21/05/2015,"to-read, ebook",to-read,,,,0,
16429619,,,0,,18/01/2016,to-read,to-read,,,,0,
20611771,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
13498427,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
24676867,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
23011800,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
15059301,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
13628795,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
18888866,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
24443918,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
17912350,,,0,,23/12/2015,"ebook, to-read",to-read,,,,0,
27824418,,,0,,6/12/2015,to-read,to-read,,,,0,
16131815,,,0,,2/12/2015,"ebook, to-read",to-read,,,,0,
18888139,,,0,,2/12/2015,"ebook, to-read",to-read,,,,0,
23601034,,,0,,2/12/2015,"ebook, to-read",to-read,,,,0,
20555672,,,0,,2/12/2015,"ebook, to-read",to-read,,,,0,
18455548,,,0,,2/12/2015,"ebook, to-read",to-read,,,,0,
11663719,,,0,,2/12/2015,"ebook, to-read",to-read,,,,0,
17457907,,,0,,2/12/2015,"ebook, to-read",to-read,,,,0,
25633837,,,0,,2/12/2015,"ebook, to-read",to-read,,,,0,
20502469,,,0,,19/08/2014,"to-read, ebook",to-read,,,,0,
21531761,,,0,,28/11/2015,"to-read, ebook",to-read,,,,0,
27809810,,9781741754476,0,,27/11/2015,"to-read, paperback",to-read,,,,0,
25117505,,,0,,12/04/2015,"to-read, ebook",to-read,,,,0,
23453952,,,0,,11/02/2015,"to-read, ebook",to-read,,,,0,
13433636,,,0,,19/08/2014,"to-read, ebook",to-read,,,,0,
17737996,,,0,,21/05/2015,"to-read, ebook",to-read,,,,0,
19002714,,9781462063031,0,,19/08/2014,"to-read, ebook",to-read,,,,0,
23301818,,9780008115289,0,,2/03/2015,"to-read, ebook",to-read,,,,0,
16038463,,,0,,19/08/2014,"to-read, ebook",to-read,,,,0,
15736950,,,0,,19/08/2014,"to-read, ebook",to-read,,,,0,
